row_no,vendor,fiscal_year,metric_key,metric_zh,value,currency,unit,official_value,official_unit,verification_status,verification_count,verification_method,verification_sources,source_ids,primary_source_url,disclosure_quality,quality_note
1,China Mobile Cloud,2016,cloud_revenue,云收入/云相关分部收入,,RMB,millions,,millions,source_gap_confirmed,3,three_distinct_official_documents,"[{""id"": ""china_mobile_2024_annual_report"", ""label"": ""China Mobile 2024 Annual Report"", ""url"": ""https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf"", ""type"": ""official_annual_report_pdf""}, {""id"": ""china_mobile_2024_results_announcement"", ""label"": ""China Mobile 2024 Annual Results Announcement"", ""url"": ""https://www.chinamobileltd.com/en/file/view.php?id=309957"", ""type"": ""official_results_announcement_pdf""}, {""id"": ""china_mobile_2024_results_presentation"", ""label"": ""China Mobile 2024 Annual Results Presentation"", ""url"": ""https://www.chinamobileltd.com/en/ir/webcasts/pre250320.pdf"", ""type"": ""official_results_presentation_pdf""}]",china_mobile_2024_annual_report;china_mobile_2024_results_announcement;china_mobile_2024_results_presentation,https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf,direct_operator_cloud_revenue_group_capex,中国移动云收入为公司直接披露；CAPEX 为中国移动集团口径，不是云业务单独投入。2025 年公开材料转为“算力服务收入”口径，未与中国移动云全年收入混用。
2,China Mobile Cloud,2017,cloud_revenue,云收入/云相关分部收入,,RMB,millions,,millions,source_gap_confirmed,3,three_distinct_official_documents,"[{""id"": ""china_mobile_2024_annual_report"", ""label"": ""China Mobile 2024 Annual Report"", ""url"": ""https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf"", ""type"": ""official_annual_report_pdf""}, {""id"": ""china_mobile_2024_results_announcement"", ""label"": ""China Mobile 2024 Annual Results Announcement"", ""url"": ""https://www.chinamobileltd.com/en/file/view.php?id=309957"", ""type"": ""official_results_announcement_pdf""}, {""id"": ""china_mobile_2024_results_presentation"", ""label"": ""China Mobile 2024 Annual Results Presentation"", ""url"": ""https://www.chinamobileltd.com/en/ir/webcasts/pre250320.pdf"", ""type"": ""official_results_presentation_pdf""}]",china_mobile_2024_annual_report;china_mobile_2024_results_announcement;china_mobile_2024_results_presentation,https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf,direct_operator_cloud_revenue_group_capex,中国移动云收入为公司直接披露；CAPEX 为中国移动集团口径，不是云业务单独投入。2025 年公开材料转为“算力服务收入”口径，未与中国移动云全年收入混用。
3,China Mobile Cloud,2018,cloud_revenue,云收入/云相关分部收入,,RMB,millions,,millions,source_gap_confirmed,3,three_distinct_official_documents,"[{""id"": ""china_mobile_2024_annual_report"", ""label"": ""China Mobile 2024 Annual Report"", ""url"": ""https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf"", ""type"": ""official_annual_report_pdf""}, {""id"": ""china_mobile_2024_results_announcement"", ""label"": ""China Mobile 2024 Annual Results Announcement"", ""url"": ""https://www.chinamobileltd.com/en/file/view.php?id=309957"", ""type"": ""official_results_announcement_pdf""}, {""id"": ""china_mobile_2024_results_presentation"", ""label"": ""China Mobile 2024 Annual Results Presentation"", ""url"": ""https://www.chinamobileltd.com/en/ir/webcasts/pre250320.pdf"", ""type"": ""official_results_presentation_pdf""}]",china_mobile_2024_annual_report;china_mobile_2024_results_announcement;china_mobile_2024_results_presentation,https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf,direct_operator_cloud_revenue_group_capex,中国移动云收入为公司直接披露；CAPEX 为中国移动集团口径，不是云业务单独投入。2025 年公开材料转为“算力服务收入”口径，未与中国移动云全年收入混用。
4,China Mobile Cloud,2019,cloud_revenue,云收入/云相关分部收入,,RMB,millions,,millions,source_gap_confirmed,3,three_distinct_official_documents,"[{""id"": ""china_mobile_2024_annual_report"", ""label"": ""China Mobile 2024 Annual Report"", ""url"": ""https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf"", ""type"": ""official_annual_report_pdf""}, {""id"": ""china_mobile_2024_results_announcement"", ""label"": ""China Mobile 2024 Annual Results Announcement"", ""url"": ""https://www.chinamobileltd.com/en/file/view.php?id=309957"", ""type"": ""official_results_announcement_pdf""}, {""id"": ""china_mobile_2024_results_presentation"", ""label"": ""China Mobile 2024 Annual Results Presentation"", ""url"": ""https://www.chinamobileltd.com/en/ir/webcasts/pre250320.pdf"", ""type"": ""official_results_presentation_pdf""}]",china_mobile_2024_annual_report;china_mobile_2024_results_announcement;china_mobile_2024_results_presentation,https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf,direct_operator_cloud_revenue_group_capex,中国移动云收入为公司直接披露；CAPEX 为中国移动集团口径，不是云业务单独投入。2025 年公开材料转为“算力服务收入”口径，未与中国移动云全年收入混用。
5,China Mobile Cloud,2020,cloud_revenue,云收入/云相关分部收入,,RMB,millions,,millions,source_gap_confirmed,3,three_distinct_official_documents,"[{""id"": ""china_mobile_2024_annual_report"", ""label"": ""China Mobile 2024 Annual Report"", ""url"": ""https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf"", ""type"": ""official_annual_report_pdf""}, {""id"": ""china_mobile_2024_results_announcement"", ""label"": ""China Mobile 2024 Annual Results Announcement"", ""url"": ""https://www.chinamobileltd.com/en/file/view.php?id=309957"", ""type"": ""official_results_announcement_pdf""}, {""id"": ""china_mobile_2024_results_presentation"", ""label"": ""China Mobile 2024 Annual Results Presentation"", ""url"": ""https://www.chinamobileltd.com/en/ir/webcasts/pre250320.pdf"", ""type"": ""official_results_presentation_pdf""}]",china_mobile_2024_annual_report;china_mobile_2024_results_announcement;china_mobile_2024_results_presentation,https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf,direct_operator_cloud_revenue_group_capex,中国移动云收入为公司直接披露；CAPEX 为中国移动集团口径，不是云业务单独投入。2025 年公开材料转为“算力服务收入”口径，未与中国移动云全年收入混用。
6,China Mobile Cloud,2021,cloud_revenue,云收入/云相关分部收入,,RMB,millions,,millions,source_gap_confirmed,3,three_distinct_official_documents,"[{""id"": ""china_mobile_2024_annual_report"", ""label"": ""China Mobile 2024 Annual Report"", ""url"": ""https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf"", ""type"": ""official_annual_report_pdf""}, {""id"": ""china_mobile_2024_results_announcement"", ""label"": ""China Mobile 2024 Annual Results Announcement"", ""url"": ""https://www.chinamobileltd.com/en/file/view.php?id=309957"", ""type"": ""official_results_announcement_pdf""}, {""id"": ""china_mobile_2024_results_presentation"", ""label"": ""China Mobile 2024 Annual Results Presentation"", ""url"": ""https://www.chinamobileltd.com/en/ir/webcasts/pre250320.pdf"", ""type"": ""official_results_presentation_pdf""}]",china_mobile_2024_annual_report;china_mobile_2024_results_announcement;china_mobile_2024_results_presentation,https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf,direct_operator_cloud_revenue_group_capex,中国移动云收入为公司直接披露；CAPEX 为中国移动集团口径，不是云业务单独投入。2025 年公开材料转为“算力服务收入”口径，未与中国移动云全年收入混用。
7,China Mobile Cloud,2022,cloud_revenue,云收入/云相关分部收入,,RMB,millions,,millions,source_gap_confirmed,3,three_distinct_official_documents,"[{""id"": ""china_mobile_2024_annual_report"", ""label"": ""China Mobile 2024 Annual Report"", ""url"": ""https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf"", ""type"": ""official_annual_report_pdf""}, {""id"": ""china_mobile_2024_results_announcement"", ""label"": ""China Mobile 2024 Annual Results Announcement"", ""url"": ""https://www.chinamobileltd.com/en/file/view.php?id=309957"", ""type"": ""official_results_announcement_pdf""}, {""id"": ""china_mobile_2024_results_presentation"", ""label"": ""China Mobile 2024 Annual Results Presentation"", ""url"": ""https://www.chinamobileltd.com/en/ir/webcasts/pre250320.pdf"", ""type"": ""official_results_presentation_pdf""}]",china_mobile_2024_annual_report;china_mobile_2024_results_announcement;china_mobile_2024_results_presentation,https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf,direct_operator_cloud_revenue_group_capex,中国移动云收入为公司直接披露；CAPEX 为中国移动集团口径，不是云业务单独投入。2025 年公开材料转为“算力服务收入”口径，未与中国移动云全年收入混用。
8,China Mobile Cloud,2023,cloud_revenue,云收入/云相关分部收入,83349,RMB,millions,83349,millions,official_match,3,three_distinct_official_documents,"[{""id"": ""china_mobile_2023_annual_report"", ""label"": ""China Mobile 2023 Annual Report"", ""url"": ""https://www.chinamobileltd.com/en/ir/reports/ar2023.pdf"", ""type"": ""official_annual_report_pdf""}, {""id"": ""china_mobile_2023_results_announcement"", ""label"": ""China Mobile 2023 Annual Results Announcement"", ""url"": ""https://www.chinamobileltd.com/en/file/view.php?id=294582"", ""type"": ""official_results_announcement_pdf""}, {""id"": ""china_mobile_2023_results_presentation"", ""label"": ""China Mobile 2023 Annual Results Presentation"", ""url"": ""https://www.chinamobileltd.com/en/ir/webcasts/pre240321.pdf"", ""type"": ""official_results_presentation_pdf""}]",china_mobile_2023_annual_report;china_mobile_2023_results_announcement;china_mobile_2023_results_presentation,https://www.chinamobileltd.com/en/ir/reports/ar2023.pdf,direct_operator_cloud_revenue_group_capex,中国移动云收入为公司直接披露；CAPEX 为中国移动集团口径，不是云业务单独投入。2025 年公开材料转为“算力服务收入”口径，未与中国移动云全年收入混用。
9,China Mobile Cloud,2024,cloud_revenue,云收入/云相关分部收入,100400,RMB,millions,100400,millions,official_match,3,three_distinct_official_documents,"[{""id"": ""china_mobile_2024_annual_report"", ""label"": ""China Mobile 2024 Annual Report"", ""url"": ""https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf"", ""type"": ""official_annual_report_pdf""}, {""id"": ""china_mobile_2024_results_announcement"", ""label"": ""China Mobile 2024 Annual Results Announcement"", ""url"": ""https://www.chinamobileltd.com/en/file/view.php?id=309957"", ""type"": ""official_results_announcement_pdf""}, {""id"": ""china_mobile_2024_results_presentation"", ""label"": ""China Mobile 2024 Annual Results Presentation"", ""url"": ""https://www.chinamobileltd.com/en/ir/webcasts/pre250320.pdf"", ""type"": ""official_results_presentation_pdf""}]",china_mobile_2024_annual_report;china_mobile_2024_results_announcement;china_mobile_2024_results_presentation,https://www.chinamobileltd.com/en/ir/reports/ar2024.pdf,direct_operator_cloud_revenue_group_capex,中国移动云收入为公司直接披露；CAPEX 为中国移动集团口径，不是云业务单独投入。2025 年公开材料转为“算力服务收入”口径，未与中国移动云全年收入混用。
10,China Mobile Cloud,2025,cloud_revenue,云收入/云相关分部收入,,RMB,millions,,millions,source_gap_confirmed,3,three_distinct_official_documents,"[{""id"": ""china_mobile_2025_annual_report"", ""label"": ""China Mobile 2025 Annual Report"", ""url"": ""https://www.chinamobileltd.com/en/ir/reports/ar2025.pdf"", ""type"": ""official_annual_report_pdf""}, {""id"": ""china_mobile_2025_results_announcement"", ""label"": ""China Mobile 2025 Annual Results Announcement"", ""url"": ""https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0326/2026032600468.pdf"", ""type"": ""official_results_announcement_pdf""}, {""id"": ""china_mobile_2025_results_presentation"", ""label"": ""China Mobile 2025 Annual Results Presentation"", ""url"": ""https://www.chinamobileltd.com/en/ir/webcasts/pre260326.pdf"", ""type"": ""official_results_presentation_pdf""}]",china_mobile_2025_annual_report;china_mobile_2025_results_announcement;china_mobile_2025_results_presentation,https://www.chinamobileltd.com/en/ir/reports/ar2025.pdf,direct_operator_cloud_revenue_group_capex,中国移动云收入为公司直接披露；CAPEX 为中国移动集团口径，不是云业务单独投入。2025 年公开材料转为“算力服务收入”口径，未与中国移动云全年收入混用。
